,apply,species
0,"['METHD_L0L1N5' 'THEXX_M4YLP4' 'HALSG_H0AER4' 'SULTO_CCA' 'METAR_Q0W552'
 'THEC1_I3TCL1' 'METAX_M9SFK5' 'NANST_R1E4X0' 'NATMM_D3SWP3' 'PYRAE_CCA'
 'METII_R9T817' 'METTH_CCA' 'NANEQ_CCA' 'IGNH4_A8AAS9' 'VULDI_E1QV00'
 'THESM_C6A3J8' 'CALLD_L0A9U6' 'METMS_D5EA76' 'METFV_E3GYM0'
 'METIK_F6BA64' 'METJA_CCA' 'METHJ_Q2FS48' 'METMA_CCA' 'METAC_CCA'
 'METTI_W9DSR0' 'METSG_F4BZQ5' 'METTP_A0B6Z1' 'ARCFU_CCA' 'HALMA_CCA'
 'HALSA_CCA' 'HALVD_D4GS58' 'HALMO_M0MSJ4' 'NATPD_A0A1U7ETL0' 'PYRFU_CCA'
 'THEPD_A1RX47' 'THETK_G4RMM5' 'STAMF_A3DNW4' 'SULAC_CCA' 'SACS2_CCA'
 'THEAC_CCA' 'PYROC_A0A0V8RUL9' 'METST_Q2NI14' 'METKA_CCA' 'METEZ_D7E8P5'
 'ACIS3_D9Q2J1' 'METBU_Q12WX1' 'HALWD_Q18K85' 'METH6_G7WN82' 'THEKO_CCA'
 'IGNAA_E0SQW4' 'NITMS_A9A3X8' 'METB6_CCA' 'ACIB4_D3TCN7' 'HALRX_L0IHC6'
 'HALXS_F8D562' 'METMP_CCA' 'METZD_F7XKY1' 'HALJB_D8J958' 'NATM8_M1XNQ6'
 'META3_A6UWG0' 'METS5_A4YHN7' 'NATGS_L0AF16' 'CENSY_A0RYQ4'
 'METPE_B8GHT9' 'NITGG_K0I8H8' 'KORCO_B1L7C3' 'METP4_E1RDQ9'
 'HYPBU_A2BIT6' 'PYRF1_G0EHB2' 'THEAM_D5TZW3' 'FERPA_D3RWJ3'
 'THEBM_F0LM13' 'ACIHW_F4B3T5' 'AERPE_CCA' 'METPS_D1YUN3' 'HALMD_C7NYN5'
 'ARCVS_F2KR20' 'HALBP_E4NTS5' 'HALTV_D2RV25' 'HALVU_A0A238XJX9'
 'NATA1_M0AMR4' 'MICA2_C7DHJ4' 'PARA4_D2EE82' 'PARA5_D6GVW9'
 'FERFK_I0A2C8' 'NATP1_L0JRF5' 'CALMQ_A8MDH3' 'PICTO_CCA' 'METRM_D3E2S7'
 'METLZ_A2SQD9' 'METBM_I7KXM7' 'ARCPA_D2RFU1' 'METLA_F0T7M9'
 'METFS_L0HGP3' 'NANS0_G0QHX1' 'NANSJ_G0QBX6' 'DESA1_B8D3G6'
 'FERAC_S0AQA0']","['101192', '1054217', '1072681', '111955', '1175445', '1200300', '1291540', '1294122', '13769', '13773', '1406512', '145262', '160232', '160233', '164451', '172049', '200415', '2176', '2180', '2189', '2190', '2203', '2209', '2214', '2221', '2223', '2224', '2234', '2238', '2242', '2246', '2250', '2257', '2261', '2269', '2271', '2280', '2285', '2287', '2303', '2309', '2317', '2320', '2322', '242703', '29291', '293091', '301375', '311400', '334771', '338192', '358766', '379547', '387341', '387343', '39152', '39669', '413810', '416273', '42879', '43687', '44930', '46770', '475088', '497727', '498846', '54120', '54248', '54252', '54254', '54261', '55802', '563177', '56636', '570267', '57705', '58290', '60847', '62320', '63740', '64602', '662757', '662759', '662761', '683846', '69525', '76887', '82076', '83816', '83984', '83986', '84156', '877455', '882104', '889948', '889962', '94694', '97393']"
1,"['SULTO_Q974S6' 'THEC1_I3TEK2' 'PYRAE_Q8ZYH9' 'IGNH4_A8A8N7'
 'VULDI_E1QT01' 'THESM_C6A461' 'CALLD_L0ABD9' 'METTP_A0B8A2'
 'ARCFU_O28776' 'PYRFU_Q8U361' 'THEPD_A1RZF9' 'THETK_G4RM77'
 'STAMF_A3DKN2' 'SULAC_Q4JBZ6' 'SACS2_Q97VZ2' 'THEAC_Q9HJ77'
 'PYROC_A0A0V8RTD8' 'METST_Q2NG59' 'METKA_Q8TYA4' 'ACIS3_D9Q2L7'
 'METH6_G7WKX3' 'THEKO_Q5JD02' 'IGNAA_E0SSN2' 'ACIB4_B5I9K5'
 'METS5_A4YGX7' 'NITGG_K0IL75' 'KORCO_B1L4M5' 'HYPBU_A2BK07'
 'PYRF1_G0ED70' 'FERPA_D3RWL7' 'THEBM_F0LKW2' 'ACIHW_F4B8M9'
 'AERPE_Q9YAX1' 'ARCVS_F2KSQ5' 'MICA2_C7DI12' 'PARA4_D2EFV0'
 'PARA5_D6GUU7' 'CALMQ_A8MAS7' 'PICTO_Q6L1J8' 'METRM_D3DZR6'
 'ARCPA_D2RF62' 'METLA_F0T9Y1' 'DESA1_B8D342' 'FERAC_S0APY1']","['111955', '1200300', '13773', '160233', '164451', '172049', '200415', '2224', '2234', '2261', '2269', '2271', '2280', '2285', '2287', '2303', '2309', '2317', '2320', '242703', '301375', '311400', '334771', '379547', '43687', '497727', '498846', '54248', '54252', '54261', '55802', '563177', '56636', '58290', '662757', '662759', '662761', '76887', '82076', '83816', '84156', '877455', '94694', '97393']"
2,"['METHD_L0KZ26' 'THEXX_M4YUQ6' 'SULTO_Q971Z9' 'METAR_Q0W626'
 'METAX_M9SD38' 'METTH_TRPE' 'IGNH4_A8AB03' 'CALLD_L0A8Z0' 'METMS_D5E765'
 'METFV_E3GX13' 'METV3_D7DSX7' 'METIK_F6BCH1' 'METJA_TRPE' 'METHJ_Q2FKX9'
 'METMA_Q8PT99' 'METAC_Q8TLP7' 'METTI_W9DQR6' 'METSG_F4C0I1'
 'METTP_A0B9D9' 'ARCFU_TRPE' 'PYRFU_Q8U090' 'THETK_G4RLL6' 'SULAC_Q4J8X5'
 'SACS2_TRPE' 'METST_Q2NFF0' 'METKA_Q8TY68' 'METEZ_D7EBI9' 'METBU_Q12TK9'
 'METH6_G7WR32' 'THEKO_TRPE' 'IGNAA_E0SS60' 'NITMS_A9A296' 'METB6_A7I4T9'
 'METMP_Q6LYI5' 'METZD_F7XN97' 'HALJB_D8J848' 'META3_A6UW22'
 'METS5_A4YHE0' 'CENSY_A0RX36' 'METPE_B8GJ32' 'NITGG_K0IBR4'
 'METP4_E1RJP1' 'FERPA_D3S070' 'ACIHW_F4B4K3' 'METPS_D1Z2R2'
 'ARCVS_F2KS86' 'HALVU_A0A238UR32' 'CALMQ_A8MDL6' 'METRM_D3DZA5'
 'METLZ_A2STA9' 'METBM_I7LMP0' 'ARCPA_D2RG57' 'METLA_F0TBJ8'
 'METFS_L0HJA8']","['101192', '1054217', '111955', '1175445', '1291540', '145262', '160233', '200415', '2176', '2180', '2188', '2189', '2190', '2203', '2209', '2214', '2221', '2223', '2224', '2234', '2261', '2271', '2285', '2287', '2317', '2320', '2322', '29291', '301375', '311400', '334771', '338192', '358766', '39152', '39669', '413810', '42879', '43687', '46770', '475088', '497727', '54120', '54261', '563177', '570267', '58290', '63740', '76887', '83816', '83984', '83986', '84156', '877455', '882104']"
3,"['METHD_L0KUZ9' 'THEXX_M4YMP5' 'SULTO_PDXT' 'METAR_PDXT' 'METAX_M9SDT3'
 'NATMM_D3SU83' 'PYRAE_PDXT' 'METII_R9T9B3' 'METTH_PDXT' 'IGNH4_PDXT'
 'VULDI_E1QUW8' 'METMS_D5EB27' 'METFV_E3GX19' 'METV3_D7DV04'
 'METIK_F6BCU8' 'METJA_PDXT' 'METHJ_PDXT' 'METMA_PDXT' 'METAC_PDXT'
 'METTI_W9E0P6' 'METSG_F4BY69' 'METTP_PDXT' 'ARCFU_PDXT' 'HALMA_PDXT'
 'HALSA_PDXT' 'HALVD_D4GRX7' 'HALMO_M0MY45' 'NATPD_PDXT' 'PYRFU_PDXT'
 'THETK_G4RN21' 'STAMF_PDXT' 'SULAC_PDXT' 'SACS2_PDXT' 'THEAC_PDXT'
 'PYROC_A0A0V8RU88' 'METST_PDXT' 'METKA_PDXT' 'METEZ_D7E9I3' 'METBU_PDXT'
 'HALWD_PDXT' 'METH6_G7WKM3' 'THEKO_PDXT' 'IGNAA_E0SS28' 'NITMS_PDXT'
 'METB6_PDXT' 'ACIB4_B5IA83' 'HALRX_L0ICR3' 'HALXS_F8D8W7' 'METMP_PDXT'
 'METZD_F7XMZ7' 'HALJB_D8J7N5' 'NATM8_M1XNH9' 'META3_PDXT' 'METS5_PDXT'
 'NATGS_L0AJI4' 'CENSY_PDXT' 'METPE_PDXT' 'NITGG_K0ILX5' 'KORCO_PDXT'
 'METP4_E1RJY3' 'HYPBU_PDXT' 'PYRF1_G0EDN8' 'THEAM_D5TZJ7' 'FERPA_D3S077'
 'ACIHW_F4BA55' 'AERPE_PDXT' 'METPS_D1YZ64' 'HALMD_C7NYM4' 'ARCVS_F2KQA7'
 'HALBP_E4NL53' 'HALTV_D2RR09' 'HALVU_A0A238VM52' 'NATA1_M0B1S7'
 'NATP1_L0JIP5' 'CALMQ_PDXT' 'PICTO_PDXT' 'METLZ_PDXT' 'ARCPA_D2RHH0'
 'METLA_F0TA05' 'METFS_L0H952' 'DESA1_B8D3X6' 'FERAC_S0ARV9']","['101192', '1054217', '111955', '1175445', '1291540', '13769', '13773', '1406512', '145262', '160233', '164451', '2176', '2180', '2188', '2189', '2190', '2203', '2209', '2214', '2221', '2223', '2224', '2234', '2238', '2242', '2246', '2250', '2257', '2261', '2271', '2280', '2285', '2287', '2303', '2309', '2317', '2320', '2322', '29291', '293091', '301375', '311400', '334771', '338192', '358766', '379547', '387341', '387343', '39152', '39669', '413810', '416273', '42879', '43687', '44930', '46770', '475088', '497727', '498846', '54120', '54248', '54252', '54254', '54261', '563177', '56636', '570267', '57705', '58290', '60847', '62320', '63740', '64602', '69525', '76887', '82076', '83984', '84156', '877455', '882104', '94694', '97393']"
4,"['THEXX_M4YL38' 'HALSG_H0AF30' 'SULTO_F9VMK8' 'METAX_M9SGU9'
 'PYRAE_Q8ZWP3' 'METII_R9T8J1' 'VULDI_E1QPM6' 'THESM_C6A0P6'
 'METMS_D5EA04' 'METHJ_Q2FPH7' 'METMA_Q8PTT0' 'METAC_Q8TQ17'
 'METTI_W9DU30' 'METSG_F4BW67' 'METTP_A0B678' 'ARCFU_O28547'
 'PYRFU_Q8U225' 'SULAC_Q4J6Y3' 'SACS2_Q97UX2' 'THEAC_Q9HKY7'
 'PYROC_A0A0V8RTV8' 'METH6_G7WL37' 'THEKO_Q5JGC7' 'CALS0_E6NB75'
 'METZD_F7XLX6' 'NITGG_K0ILT4' 'KORCO_B1L5G7' 'HYPBU_A2BJ64'
 'AERPE_Q9YF49' 'ARCVS_F2KMI0' 'MICA2_C7DHL6' 'PARA5_D6GVK8'
 'FERFK_I0A0M7' 'CALMQ_A8MBC9' 'PICTO_Q6L0G0' 'ARCPA_D2RFJ8'
 'NANS0_G0QF94' 'NANSJ_G0QAZ3' 'FERAC_S0ATX1']","['1054217', '1072681', '111955', '1291540', '13773', '1406512', '164451', '172049', '2176', '2203', '2209', '2214', '2221', '2223', '2224', '2234', '2261', '2285', '2287', '2303', '2309', '301375', '311400', '311458', '39669', '497727', '498846', '54248', '56636', '58290', '662757', '662761', '683846', '76887', '82076', '84156', '889948', '889962', '97393']"
5,"['THEXX_M4YUN8' 'THEC1_I3TEP2' 'METAX_M9SFG0' 'METII_R9T5H9'
 'IGNH4_A8AAA1' 'METFV_E3GY25' 'METV3_D7DTM3' 'METIK_F6BAZ8'
 'METTP_A0B7L7' 'HALVD_D4GRS6' 'STAMF_A3DNK1' 'METST_Q2NEC3'
 'METKA_Q8TX00' 'METH6_G7WQC1' 'IGNAA_E0SQR0' 'METB6_A7I8G1'
 'METMP_Q6LXT8' 'META3_A6UV08' 'METPE_B8GFI6' 'KORCO_B1L687'
 'THEAM_D5U0N5' 'HALVU_A0A238VK60' 'PARA4_D2EFM6' 'PARA5_D6GVA4'
 'FERFK_I0A1L9' 'METBM_I7LMR8' 'METLA_F0T7G3' 'NANS0_G0QFL7'
 'NANSJ_G0QC34' 'DESA1_B8D2P1']","['1054217', '1200300', '1291540', '1406512', '160233', '2180', '2188', '2189', '2224', '2246', '2280', '2317', '2320', '301375', '334771', '358766', '39152', '42879', '475088', '498846', '54254', '63740', '662759', '662761', '683846', '83986', '877455', '889948', '889962', '94694']"
6,"['METHD_L0KYK7' 'THEXX_M4YQG6' 'METAR_Q0W6E1' 'METAX_M9SCB8'
 'NATMM_D3SVQ2' 'METII_R9T4P0' 'METMS_D5E8E1' 'METMA_Q8PVE9'
 'METAC_Q8TSA0' 'METTI_W9DW56' 'METSG_F4BVP5' 'HALMA_Q5V572'
 'HALVD_D4GV53' 'HALMO_M0MC84' 'NATPD_A0A1U7EWC3' 'METEZ_D7E5V7'
 'METBU_Q12V51' 'HALWD_Q18GR7' 'CALS0_E6N511' 'NITMS_A9A2G0'
 'HALRX_L0I909' 'HALXS_F8D8T7' 'METZD_F7XL47' 'HALJB_D8JAT3'
 'NATM8_M1XPE4' 'NATGS_L0ANU6' 'CENSY_A0RTV9' 'NITGG_K0IMN0'
 'METPS_D1YUQ1' 'HALMD_C7NYA0' 'HALBP_E4NQN6' 'HALTV_D2RSH6'
 'HALVU_A0A238VTM7' 'NATA1_M0AS28' 'NATP1_L0JML5']","['101192', '1054217', '1175445', '1291540', '13769', '1406512', '2176', '2209', '2214', '2221', '2223', '2238', '2246', '2250', '2257', '2322', '29291', '293091', '311458', '338192', '387341', '387343', '39669', '413810', '416273', '44930', '46770', '497727', '570267', '57705', '60847', '62320', '63740', '64602', '69525']"
7,"['METHD_L0KZ44' 'METAR_Q0W7S3' 'METAX_M9SLU8' 'NATMM_D3SX77'
 'METII_U5Q2F9' 'METMS_D5EB22' 'METHJ_Q2FUD6' 'METMA_Q8PUB6'
 'METAC_Q8TQG0' 'METTI_W9DR61' 'METSG_F4BZL3' 'METTP_A0B8Z4' 'ARCFU_GYRB'
 'HALMA_Q5V4R6' 'HALSA_Q9HR30' 'HALVD_GYRB' 'HALMO_M0M7R5'
 'NATPD_A0A1U7EXE0' 'THEAC_Q9HJB5' 'METEZ_D7E9I0' 'METBU_Q12YR9'
 'METH6_G7WPS7' 'METB6_A7I8U0' 'ACIB4_D3T950' 'HALRX_L0IBB7'
 'HALXS_F8D8D3' 'METZD_F7XMZ4' 'HALJB_D8J639' 'NATM8_M1XQV8'
 'NATGS_L0AE68' 'METPE_B8GGZ0' 'METP4_E1RIX2' 'FERPA_D3S0S2'
 'METPS_D1YWG2' 'HALMD_C7NZR7' 'ARCVS_F2KNC6' 'HALBP_E4NLL8'
 'HALTV_D2RUH9' 'NATA1_M0ASN7' 'MICA2_C7DIB1' 'NATP1_L0JIR6'
 'PICTO_Q6KZ53' 'METLZ_A2SQI2' 'METBM_I7LJM5' 'ARCPA_D2RFU2'
 'METFS_L0HEU5' 'FERAC_S0AQY1']","['101192', '1175445', '1291540', '13769', '1406512', '2176', '2203', '2209', '2214', '2221', '2223', '2224', '2234', '2238', '2242', '2246', '2250', '2257', '2303', '2322', '29291', '301375', '358766', '379547', '387341', '387343', '39669', '413810', '416273', '44930', '475088', '54120', '54261', '570267', '57705', '58290', '60847', '62320', '64602', '662757', '69525', '82076', '83984', '83986', '84156', '882104', '97393']"
8,"['THEC1_I3TCW5' 'METAX_M9SAL9' 'NANST_R1G901' 'METII_R9T947'
 'METTH_O27820' 'VULDI_E1QSV1' 'THESM_C6A0B4' 'CALLD_L0ACB3'
 'METFV_E3GXQ6' 'METIK_F6BEZ9' 'METHJ_Q2FRR8' 'METMA_Q8PXP8'
 'METAC_Q8TJK6' 'METSG_F4BZE0' 'METTP_A0B7R7' 'HALSA_Q9HPF1' 'HALVD_AGL14'
 'HALMO_M0MFM2' 'THETK_G4RK76' 'THEAC_Q9HJE8' 'PYROC_A0A0V8RS21'
 'METST_Q2NFA4' 'ACIS3_D9Q177' 'METBU_Q12TY2' 'METH6_G7WMH3'
 'METB6_A7I956' 'ACIB4_B5IDJ1' 'HALJB_D8J2F8' 'META3_A6UTZ6'
 'METPE_B8GEI4' 'KORCO_B1L564' 'PYRF1_G0EHH3' 'THEAM_D5U135'
 'FERPA_D3S220' 'THEBM_F0LLW4' 'ACIHW_F4B4D3' 'AERPE_Q9YCT2'
 'HALMD_C7P2L8' 'ARCVS_F2KQD7' 'HALBP_E4NUG3' 'PARA4_D2EF34'
 'CALMQ_A8M932' 'METRM_D3DYN9' 'METBM_I7KBY8' 'ARCPA_D2RDQ9'
 'METLA_F0TC18' 'METFS_L0HC77']","['1200300', '1291540', '1294122', '1406512', '145262', '164451', '172049', '200415', '2180', '2189', '2203', '2209', '2214', '2223', '2224', '2242', '2246', '2250', '2271', '2303', '2309', '2317', '242703', '29291', '301375', '358766', '379547', '413810', '42879', '475088', '498846', '54252', '54254', '54261', '55802', '563177', '56636', '57705', '58290', '60847', '662759', '76887', '83816', '83986', '84156', '877455', '882104']"
9,"['METHD_L0KYX7' 'THEXX_M4YJE1' 'HALSG_H0AA51' 'METAR_Q0W082'
 'METAX_M9S980' 'NATMM_D3T009' 'METII_R9TCE2' 'METTH_O27725'
 'THESM_C6A464' 'METMS_D5EAH1' 'METFV_E3GZ19' 'METV3_D7DUC5'
 'METIK_F6BEU0' 'METJA_Y273' 'METMA_Q8PUH8' 'METAC_Q8TR13' 'METTI_W9DPC7'
 'METSG_F4BWY3' 'METTP_A0B871' 'ARCFU_O28492' 'HALMA_Q5V319'
 'HALSA_Q9HQ99' 'HALVD_D4GW71' 'HALMO_M0M8S5' 'NATPD_A0A1U7EYF2'
 'PYRFU_Q8U0U7' 'THEAC_Q9HLC5' 'METST_Q2NHY5' 'METKA_Q8TUX1'
 'METEZ_D7E9J9' 'METBU_Q12XB6' 'HALWD_Q18JM4' 'METH6_G7WMG3'
 'THEKO_Q5JGE9' 'ACIB4_D3TAR4' 'HALRX_L0ID90' 'HALXS_F8D524'
 'METMP_Q6LX44' 'METZD_F7XKM4' 'HALJB_D8J3C8' 'NATM8_M1XSA3'
 'META3_A6UTN9' 'NATGS_L0ANL4' 'FERPA_D3RWS4' 'THEBM_F0LKV8'
 'METPS_D1YX21' 'HALMD_C7NY63' 'ARCVS_F2KRN8' 'HALBP_E4NPL3'
 'HALTV_D2RVB6' 'HALVU_A0A238W4V0' 'NATA1_M0AX42' 'MICA2_C7DHJ1'
 'PARA4_D2EF13' 'PARA5_D6GUG1' 'NATP1_L0JHU2' 'PICTO_Q6L1W7'
 'METRM_D3E170' 'ARCPA_D2RG14' 'METLA_F0TA13' 'NANSJ_G0QAJ5'
 'FERAC_S0AQ71']","['101192', '1054217', '1072681', '1175445', '1291540', '13769', '1406512', '145262', '172049', '2176', '2180', '2188', '2189', '2190', '2209', '2214', '2221', '2223', '2224', '2234', '2238', '2242', '2246', '2250', '2257', '2261', '2303', '2317', '2320', '2322', '29291', '293091', '301375', '311400', '379547', '387341', '387343', '39152', '39669', '413810', '416273', '42879', '44930', '54261', '55802', '570267', '57705', '58290', '60847', '62320', '63740', '64602', '662757', '662759', '662761', '69525', '82076', '83816', '84156', '877455', '889962', '97393']"
